"PedigreeNodeId","Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","Points:0","Points:1","Points:2"
8264,326.7,13.23,-7.4746,-7.9576,0.0069947,0.1369,0.0034186,0.0010799,0.8586,-2.099,-3.6356,-4.861
8084,326.49,18.746,-6.823,0,0.0067855,0.1368,0.0034158,0.0010789,0.85871,-1.3031,-3.5802,-4.861
8265,326.7,14.327,-5.0637,-7.9576,0.0069946,0.1369,0.0034186,0.0010799,0.8586,-1.4358,-3.9448,-4.861
8089,326.49,19.646,-3.4641,0,0.0067855,0.1368,0.0034157,0.0010789,0.85871,-0.6616,-3.7521,-4.861
8266,313.68,-6.5404,-2.694,-12.131,0.0072076,0.14079,0.0035609,0.0010977,0.85455,-1.7012,4.674,-4.861
8267,313.68,-5.9732,-3.7888,-12.131,0.0072076,0.14079,0.0035608,0.0010977,0.85455,-2.487,4.3076,-4.861
8268,313.68,-5.2245,-4.7685,-12.131,0.0072076,0.14079,0.0035608,0.0010977,0.85455,-3.1972,3.8103,-4.861
8269,313.68,-4.3171,-5.6033,-12.131,0.0072076,0.14079,0.0035608,0.0010977,0.85455,-3.8103,3.1972,-4.861
8270,313.68,-3.2786,-6.2678,-12.131,0.0072076,0.14079,0.0035609,0.0010977,0.85455,-4.3076,2.487,-4.861
8271,313.68,-2.1404,-6.7419,-12.131,0.0072076,0.14079,0.0035609,0.0010977,0.85455,-4.674,1.7012,-4.861
8272,313.68,-0.93712,-7.0112,-12.131,0.0072077,0.14079,0.0035609,0.0010977,0.85455,-4.8984,0.86373,-4.861
8273,313.68,0.2946,-7.0674,-12.131,0.0072077,0.14079,0.003561,0.0010977,0.85455,-4.974,6.1465e-14,-4.861
8274,313.68,1.5174,-6.9089,-12.131,0.0072077,0.14079,0.003561,0.0010977,0.85455,-4.8984,-0.86373,-4.861
8275,313.68,2.694,-6.5405,-12.131,0.0072077,0.14079,0.0035611,0.0010977,0.85455,-4.674,-1.7012,-4.861
8276,313.68,3.7889,-5.9733,-12.131,0.0072076,0.14079,0.0035611,0.0010977,0.85455,-4.3076,-2.487,-4.861
8277,313.68,4.7686,-5.2247,-12.131,0.0072076,0.14079,0.0035611,0.0010977,0.85455,-3.8103,-3.1972,-4.861
8278,313.68,5.6034,-4.3173,-12.131,0.0072076,0.14079,0.0035611,0.0010977,0.85455,-3.1972,-3.8103,-4.861
8279,313.68,6.268,-3.2787,-12.131,0.0072076,0.14079,0.0035611,0.0010977,0.85455,-2.487,-4.3076,-4.861
8280,313.68,6.7421,-2.1404,-12.131,0.0072076,0.14079,0.0035611,0.0010977,0.85455,-1.7012,-4.674,-4.861
8281,321.68,-10.201,-3.9991,-11.996,0.0071133,0.13832,0.0034712,0.0010863,0.85712,-1.5685,4.3094,-4.861
8282,321.68,-9.3513,-5.7096,-11.996,0.0071133,0.13832,0.0034711,0.0010863,0.85712,-2.293,3.9716,-4.861
8283,321.68,-8.2177,-7.2467,-11.996,0.0071134,0.13832,0.0034711,0.0010863,0.85712,-2.9478,3.5131,-4.861
8284,321.68,-6.8345,-8.5636,-11.996,0.0071134,0.13832,0.0034711,0.0010863,0.85712,-3.5131,2.9478,-4.861
8285,321.68,-5.2436,-9.6204,-11.996,0.0071134,0.13832,0.0034711,0.0010863,0.85712,-3.9716,2.293,-4.861
8286,321.68,-3.4934,-10.385,-11.996,0.0071134,0.13832,0.0034712,0.0010863,0.85712,-4.3094,1.5685,-4.861
8287,321.68,-1.637,-10.834,-11.996,0.0071134,0.13832,0.0034712,0.0010863,0.85712,-4.5163,0.79635,-4.861
8288,321.68,0.26906,-10.953,-11.996,0.0071134,0.13832,0.0034712,0.0010863,0.85712,-4.586,4.81e-14,-4.861
8289,321.68,2.167,-10.74,-11.996,0.0071134,0.13832,0.0034713,0.0010863,0.85712,-4.5163,-0.79635,-4.861
8290,321.68,3.9991,-10.201,-11.996,0.0071134,0.13832,0.0034713,0.0010863,0.85712,-4.3094,-1.5685,-4.861
8291,321.68,5.7097,-9.3514,-11.996,0.0071134,0.13832,0.0034713,0.0010863,0.85712,-3.9716,-2.293,-4.861
8292,321.68,7.2469,-8.2179,-11.996,0.0071134,0.13832,0.0034714,0.0010863,0.85712,-3.5131,-2.9478,-4.861
8293,321.68,8.5638,-6.8347,-11.996,0.0071134,0.13832,0.0034714,0.0010863,0.85712,-2.9478,-3.5131,-4.861
8294,321.68,9.6205,-5.2437,-11.996,0.0071133,0.13832,0.0034714,0.0010863,0.85712,-2.293,-3.9716,-4.861
8295,321.68,10.385,-3.4935,-11.996,0.0071133,0.13832,0.0034714,0.0010863,0.85712,-1.5685,-4.3094,-4.861
8296,296.74,-3.3072,-0.53196,-7.9732,0.0085772,0.14271,0.0036106,0.0011101,0.85257,-0.9311,5.2805,-6.4136
